t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1,t+2,t+3,t+4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.727,254.159,264.6065,235.37007981857658,254.22506695312265,286.8994177621007,327.23212787245217
405.9896667,360.44325,279.2948,351.45599999999996,420.20450000000005,448.7875000000001,402.9235,343.2603333,335.2405,345.5605,343.26000000000005,381.459,372.3648051916063,377.9435796171129,387.5681804762483,392.17403706005217
580.875,455.8043333,463.72533329999993,359.1616667,318.685,334.39,390.1095,368.362,361.298,350.3565,309.224,252.844,191.53981099769476,126.05191726174951,63.8791524964571,30.181735543161633
362.3156667,404.7635,391.37749999999994,410.2825000000001,470.538,422.5686667,428.353,511.968,545.379,584.016,601.2965,582.7455,574.2212228535415,622.4775890173912,669.7366970658303,718.3095275588632
378.1293333,406.866,401.0965,470.0735,485.804,516.8615,497.5425,476.71399999999994,494.323,433.587,486.3735,511.93350000000004,564.7299430916012,585.8727528707982,590.9887766990066,590.5350772587658
381.459,385.05049999999994,354.7595,385.12300000000005,428.6145,380.45133330000004,398.55850000000004,461.535,459.3675,456.93500000000006,503.72,556.6805,605.9827522419989,667.643474297911,691.7563682631851,703.890218947053
341.58575,364.68100000000004,298.7102,371.7775,455.16050000000007,435.384,332.484,378.546,392.673,365.338,316.371,350.65275,339.44813207645717,349.75668647259477,363.0505530149937,373.10304528546334
65.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070513333320618,-16.677449984669686,-11.199461416125299,-5.588355605274439
672.788,541.5676667,587.59675,551.7746667,555.46525,405.115,331.4233333,379.5965,405.1572499999999,263.9485,384.1305,492.8125,422.8374001632035,386.3419117788971,347.1550496123135,324.8374648806453
647.424,831.3415,1025.444,1085.282667,851.9950000000001,930.606,835.4163333000001,848.0316667,1004.38525,1114.367333,1128.635333,1172.69625,1111.8131469738485,1163.1536745194794,1175.2350121840238,1171.982955915928
347.033,367.61599999999993,396.87800000000004,378.414,359.556,377.29699999999997,378.1293333,406.866,401.0965,470.0735,485.804,516.8615,495.14044822448494,508.8559274476469,525.6252752161324,544.9662524052859
591.9665,554.0086667,572.3855,626.2655,620.5735,644.8616667,647.096,643.0215,677.0585,773.8475,935.7524999999999,1103.023333,1063.8862103101017,1034.4518475598097,987.0159565519095,980.8864477591516
321.83975,345.5924999999999,372.50025,394.64399999999995,434.003,423.16150000000005,371.1205,380.31966669999997,365.1405,401.93799999999993,332.4355,360.3443333,359.6065469837189,374.4358485476375,383.0966234931052,391.4309044488669
370.9013333,337.543,325.584,318.0765,334.6743333,358.176,344.2455,390.17600000000004,382.6185,378.8306667,389.716,386.51300000000003,401.2816619215012,444.99120787730817,481.6601767718792,506.3156509088576
778.1176667,775.3586667,786.069,674.759,743.818,694.4933333,629.019,786.6163333,796.0596667,800.5905,940.7243333,875.7606667,873.3978420572281,855.9445203662515,810.3959179177285,749.2577167124749
378.546,392.673,365.338,316.371,350.65275,382.81649999999996,388.8625,429.46875,393.396,438.53799999999995,409.6915,423.16150000000005,467.3166206367016,559.6882855267824,622.3466734078825,647.3107430753411
1271.587,1286.262667,1205.25475,1131.584667,1033.548,938.512,796.719,797.1285,778.1176667,775.3586667,786.069,674.759,688.1105458921195,705.3012209445238,731.5812146893741,771.0086256245971
463.83500000000004,356.9725,366.445,392.2775,377.88899999999995,410.3485,362.3156667,404.7635,391.37749999999994,410.2825000000001,470.538,422.5686667,436.3749548395276,461.87308354434373,486.2447101343275,511.29668202978377
368.5793333,259.4298333,382.357,449.642,435.0545000000001,341.638,373.1793333,368.62449999999995,346.15150000000006,347.033,367.61599999999993,396.87800000000004,403.58950311622027,409.9169550058842,409.3431442652345,411.29811264765266
279.2948,351.45599999999996,420.20450000000005,448.7875000000001,402.9235,343.2603333,335.2405,345.5605,343.26000000000005,381.459,385.05049999999994,354.7595,394.25833098384743,403.4307001579404,399.05524036931996,403.79299106609824
498.26599999999996,559.441,570.4795,546.9563333,535.876,583.3585,577.773,580.3686667,545.8385,598.9965,664.114,816.9520000000001,951.5541755371095,982.6267161728144,954.1364461829663,921.74977539289
251.1365,179.90949999999998,242.4635,289.1166667,293.8916667,344.41025,346.8773333,368.624,509.03,479.7883333,690.7256667000001,580.336,582.2580387557448,528.7064603165388,484.43431563895945,441.21899547526243
751.5133333,806.504,760.3114999999999,719.6373333,752.5353333,604.354,684.287,603.727,643.81,620.2013333,686.7063333,697.4713333,677.8042542852462,687.3084992181064,682.7636360169947,670.7949485639334
266.908,169.302,80.5955,99.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.151525120735169,-3.922657309889794,-11.111436875194311,-4.838944263517857
1095.19325,1221.999667,1224.503,1094.8185,1163.7178,1202.388,1196.374,1320.215667,1108.6312,1119.100333,1019.698,936.08125,863.8305244218112,845.2500482803583,817.5285558466912,801.5946054120064
1239.0722,1230.421,1253.671,1212.7785,1087.132667,1014.8546669999998,1000.9999999999999,915.404,902.109,818.9886667,810.14,757.4856667,773.6182128255368,775.7802162328959,778.3766751790047,790.6299848276377
516.7965,498.5955,503.45700000000005,530.661,578.5615,582.3075,557.2246667,577.708,598.669,600.705,688.228,813.0095,902.6440059742928,913.8406949639322,885.5265555979014,874.1036692237855
312.4206667,303.923,338.9885,347.1363333,370.4636667,480.8857499999999,507.1066667,682.0956667,555.3663333,606.42225,562.2883333,593.2145,451.9971296074689,390.9287283160985,351.3671400931478,338.67584821619096
531.274,491.761,551.491,450.403,582.7896667,604.057,557.2725,549.651,647.424,831.3415,1025.444,1085.282667,986.6574165737034,930.2351943631173,864.2692201422453,843.2165549948216
375.98400000000004,299.8275,354.949,500.5655,442.677,404.8945,352.985,367.5715,334.2585,377.23150000000004,325.475,394.578,387.62448519650104,384.0014538019896,374.3064822352827,369.722641979456
350.488,338.135,260.862,238.65200000000002,234.843,174.718,85.6835,77.273,0.0,0.0,0.0,0.0,0.20491493409872055,-1.90269998896122,-8.534792624264956,1.7766768967807294
592.9515,648.278,525.936,672.5463333,646.176,615.95,637.2385,575.2755,633.834,649.7905,662.2085,680.2575,711.3343471459151,712.6470095450878,703.7988919569254,718.6820927534104
560.1635,402.9865,337.503,360.87049999999994,362.491,281.7576,349.0435,468.3025,424.673,308.826,370.9013333,337.543,329.1632656183839,330.2667932872624,332.4464097570032,342.49529379594327
675.701,617.1985,590.8056667,465.2953333,372.3935,317.327,282.283,265.199,367.96649999999994,332.353,331.827,282.611,252.75751560953262,192.60686902698876,124.81313187423349,75.83683178552985
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.801,232.213,265.921,233.72252460828426,251.6262840612829,283.70219845905905,324.7132357114852
1102.7835,953.5595,884.9156667,825.8106667,814.101,950.318,1156.334333,1229.665333,1117.304667,1137.1155,1175.494,1188.4635,1150.9512470510604,1149.85711709255,1098.7465378613472,1047.0371960511209
437.288,479.583,504.9685,463.30800000000005,487.0955,430.1266667,451.462,546.6935,459.104,453.25633329999994,529.411,529.2145,508.5539368155599,505.0956609420777,487.32139011436703,468.7937939310372
430.1266667,451.462,546.6935,459.104,453.25633329999994,529.411,529.2145,516.7965,498.5955,503.45700000000005,530.661,578.5615,602.9264374380112,613.6664099350572,615.5413041172028,608.4602007040978
559.3096667,462.38700000000006,405.6836667,368.2733333,315.019,284.2535,317.043,379.5305,350.488,338.135,260.862,238.65200000000002,215.94344280520085,152.29904959854485,87.29486274245382,56.06262218695879
0.0,0.0,0.0,0.0,0.0,182.47099999999998,320.263,251.1365,179.90949999999998,242.4635,289.1166667,293.8916667,309.05330701816087,340.592919974804,368.67336009645464,397.8962030142546
848.0316667,1004.38525,1114.367333,1128.635333,1172.69625,1147.587,1145.32575,1172.0725,1156.5795,1131.62925,1142.536667,996.5193333000001,926.0250201182366,886.2010706535578,822.476032452941,786.296192978263
516.8615,497.5425,476.71399999999994,494.323,433.587,486.3735,511.93350000000004,484.198,458.1853333,540.9115,523.3015,552.739,549.6752187917829,568.0391602704824,581.6750545451046,591.3446257926822
352.985,367.5715,334.2585,377.23150000000004,325.475,394.578,384.59099999999995,370.4565,407.9825,378.69899999999996,405.6175,447.7365,479.6681475706995,534.2989745615423,568.492900481701,579.4399487746656
613.1245,693.2889999999999,799.2105,930.495,1112.748,1159.2265,1019.2439999999999,1049.755667,1037.3375,964.2473332999999,1053.27175,1163.781667,1156.1186423112156,1195.1967275092006,1196.8338453491926,1194.5630649732352
542.6636667,536.837,531.9306667,618.446,562.0695,579.241,601.2975,573.6335,600.765,626.6823333,665.845,613.1245,630.1702163255513,680.4757318303883,732.4249293026329,809.606102537036
470.538,422.5686667,428.353,511.968,545.379,584.016,601.2965,582.7455,621.864,625.0175,541.704,595.1195,642.7543416875303,698.6875160201788,722.4127187581659,710.8932867087723
